xpath_id,source,xml_version,level,xpath,raw_group_root,group_root,master_detail,default_column_name,default_data_type,default_data_length,sample_value,group_level
56,DS,1.0,5,/Data/Products/Product/Server/DatabaseMode,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_DatabaseMode,int,,2,4
2549,OSCE,2.0,5,/Data/Products/Product/Server/InternalProxyType,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_InternalProxyType,int,,3,4
4494,DDI,1.0,6,/data/other/cav_ddna_meta/https/flow_cnt/h18,/data/other/cav_ddna_meta/https/flow_cnt,/data/other/cav_ddna_meta/https/flow_cnt,M,https_flow_cnt_h18,int,,1047166,5
50,DS,1.0,5,/Data/Products/Product/EndPoint/TenantLocale,/Data/Products/Product/EndPoint,/Data/Products/Product/EndPoint,M,EndPoint_TenantLocale,varchar,53,en_US,4
52,DS,1.0,7,/Data/Products/Product/Server/ACs/AC/@AP_Name,/Data/Products/Product/Server/ACs/AC,/Data/Products/Product/Server/ACs/AC,D,AC_AP_Name,varchar,53,3A,6
2553,DDI,1.0,4,/data/other/packet_capture_stat/pcap_process_lt_1s,/data/other/packet_capture_stat,/data/other/packet_capture_stat,M,packet_capture_stat_pcap_process_lt_1s,varchar,16,"1,007,631",3
4466,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h14,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h14,int,,134004366,5
59,DS,1.0,5,/Data/Products/Product/Server/LastInstalled,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_LastInstalled,datetime,,2014-12-10T08:30:37.580-05:00,4
2552,DDI,1.0,4,/data/other/packet_capture_stat/pcap_process_ge_5s,/data/other/packet_capture_stat,/data/other/packet_capture_stat,M,packet_capture_stat_pcap_process_ge_5s,varchar,16,"1,363,334",3
4475,DDI,1.0,6,/data/other/cav_ddna_meta/http/trans_cnt/h23,/data/other/cav_ddna_meta/http/trans_cnt,/data/other/cav_ddna_meta/http/trans_cnt,M,http_trans_cnt_h23,int,,134184092,5
62,DS,1.0,5,/Data/Products/Product/Server/OSLanguage,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_OSLanguage,varchar,53,en_GB,4
2563,DDI,1.0,5,/data/other/va_overall_roz_stat_cav/record/va_overall_roz,/data/other/va_overall_roz_stat_cav/record,/data/other/va_overall_roz_stat_cav/record,D,record_va_overall_roz,varchar,10,None,4
4316,DDWI,2.2,4,/bif/Product/ProductInfo/Language,/bif/Product/ProductInfo,/bif/Product/ProductInfo,M,ProductInfo_Language,varchar,10,en_US,3
57,DS,1.0,5,/Data/Products/Product/Server/FirstInstalled,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_FirstInstalled,datetime,,2012-11-19T08:39:20.698-05:00,4
2598,DDI,1.0,6,/data/product_setting/official_page/integrated_product/threat_intelligence_sharing/url_wrs,/data/product_setting/official_page/integrated_product/threat_intelligence_sharing,/data/product_setting/official_page/integrated_product,M,threat_intelligence_sharing_url_wrs,int,,1,5
63,DS,1.0,5,/Data/Products/Product/Server/OSType,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_OSType,int,,1,4
2548,OSCE,2.0,5,/Data/Products/Product/Server/HybridMode,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_HybridMode,int,,0,4
4445,DDI,1.0,6,/data/other/cav_ddna_meta/http/flow_cnt/h17,/data/other/cav_ddna_meta/http/flow_cnt,/data/other/cav_ddna_meta/http/flow_cnt,M,http_flow_cnt_h17,int,,2792401,5
64,DS,1.0,5,/Data/Products/Product/Server/OSVersion,/Data/Products/Product/Server,/Data/Products/Product/Server,M,Server_OSVersion,varchar,86,2.6.32-504.3.3.el6.cfncluster.x86_64,4
